code,category,value,areaName
E12000005,Thai,1638,West Midlands
E12000005,Malay,670,West Midlands
E12000005,Tagalog,3360,West Midlands
E12000005,otherEAsian,460,West Midlands
E12000005,Oceanic,201,West Midlands
E12000005,NSAmerican,4,West Midlands
E12000005,EnglishCreole,23,West Midlands
E12000005,otherCreole,48,West Midlands
E12000005,Amharic,1092,West Midlands
E12000005,Tigrinya,4143,West Midlands
E12000005,Somali,8503,West Midlands
E12000005,Krio,47,West Midlands
E12000005,Akan,2610,West Midlands
E12000005,Yoruba,643,West Midlands
E12000005,Igbo,873,West Midlands
E12000005,Swahili,901,West Midlands
E12000005,Luganda,100,West Midlands
E12000005,Lingala,444,West Midlands
E12000005,Shona,1636,West Midlands
E12000005,Afrikaans,339,West Midlands
E12000005,otherNigerian,686,West Midlands
E12000005,otherWAfrican,2004,West Midlands
E12000005,otherAfrican,1737,West Midlands
E12000005,BSL,2233,West Midlands
E12000005,otherSignLang,191,West Midlands
E12000005,otherSignComm,433,West Midlands
E12000005,other,785,West Midlands
E12000006,N/A,203944,East of England
E12000006,English,5676753,East of England
E12000006,Welsh,431,East of England
E12000006,IrishGaelic,40,East of England
E12000006,ScottishGaelic,7,East of England
E12000006,ManxGaelic,2,East of England
E12000006,Gaelic,23,East of England
E12000006,Cornish,1,East of England
E12000006,Scots,49,East of England
E12000006,UlsterScots,0,East of England
E12000006,RomanyEnghlish,223,East of England
E12000006,IrishTraveller,5,East of England
E12000006,French,7242,East of England
E12000006,Portuguese,26194,East of England
E12000006,Spanish,13819,East of England
E12000006,Italian,14124,East of England
E12000006,German,4322,East of England
E12000006,Polish,67054,East of England
E12000006,Slovak,4245,East of England
E12000006,Czech,2563,East of England
E12000006,Romanian,61817,East of England
E12000006,Lithuanian,30371,East of England
E12000006,Latvian,5496,East of England
E12000006,Hungarian,10631,East of England
E12000006,Bulgarian,10843,East of England
E12000006,Greek,6617,East of England
E12000006,Dutch,1747,East of England
E12000006,Swedish,905,East of England
E12000006,Danish,591,East of England
E12000006,Finnish,434,East of England
E12000006,Estonian,267,East of England
E12000006,3Slovenian1,238,East of England
E12000006,3Maltese2,184,East of England
E12000006,otherEU,638,East of England
E12000006,Albanian,5084,East of England
E12000006,Ukrainian,1059,East of England
E12000006,otherEEuropean,27,East of England
E12000006,otherNEuropean,542,East of England
E12000006,BosCroatSerbMont,1886,East of England
E12000006,Romani,11,East of England
E12000006,Yiddish,208,East of England
E12000006,Russian,10822,East of England
E12000006,Turkish,9584,East of England
E12000006,Arabic,8670,East of England
E12000006,Hebrew,521,East of England
E12000006,Kurdish,3588,East of England
E12000006,Farsi,4193,East of England
E12000006,Pashto,2152,East of England
E12000006,otherWCAsian,592,East of England
E12000006,Urdu,18922,East of England
E12000006,Hindi,3913,East of England
E12000006,Panjabi,11226,East of England
E12000006,Pahari,653,East of England
E12000006,Bengali,15045,East of England
E12000006,Gujarati,8689,East of England
E12000006,Marathi,1053,East of England
E12000006,Telugu,3653,East of England
E12000006,Tamil,9753,East of England
E12000006,Malayalam,9321,East of England
E12000006,Sinhala,1736,East of England
E12000006,Nepalese,3160,East of England
E12000006,otherSAsian,2480,East of England
E12000006,Mandarin,2440,East of England
E12000006,Cantonese,4595,East of England
E12000006,otherChinese,8853,East of England
E12000006,Japanese,1424,East of England
E12000006,Korean,749,East of England
E12000006,Vietnamese,1124,East of England
E12000006,Thai,2576,East of England
E12000006,Malay,511,East of England
E12000006,Tagalog,7047,East of England
E12000006,otherEAsian,1396,East of England
E12000006,Oceanic,116,East of England
E12000006,NSAmerican,5,East of England
E12000006,EnglishCreole,9,East of England
E12000006,otherCreole,128,East of England
E12000006,Amharic,221,East of England
E12000006,Tigrinya,428,East of England
E12000006,Somali,451,East of England
E12000006,Krio,40,East of England
E12000006,Akan,1991,East of England
E12000006,Yoruba,808,East of England
E12000006,Igbo,1042,East of England
E12000006,Swahili,606,East of England
E12000006,Luganda,138,East of England
E12000006,Lingala,191,East of England
E12000006,Shona,1583,East of England
E12000006,Afrikaans,1266,East of England
E12000006,otherNigerian,278,East of England
E12000006,otherWAfrican,626,East of England
E12000006,otherAfrican,1076,East of England
E12000006,BSL,1920,East of England
E12000006,otherSignLang,154,East of England
E12000006,otherSignComm,358,East of England
E12000006,other,559,East of England
E12000007,N/A,317065,London
E12000007,English,6650973,London
E12000007,Welsh,1241,London
E12000007,IrishGaelic,243,London
E12000007,ScottishGaelic,26,London
E12000007,ManxGaelic,1,London
E12000007,Gaelic,86,London
E12000007,Cornish,19,London
E12000007,Scots,55,London
E12000007,UlsterScots,2,London
E12000007,RomanyEnghlish,741,London
E12000007,IrishTraveller,5,London
E12000007,French,67049,London
E12000007,Portuguese,94205,London
E12000007,Spanish,117457,London
E12000007,Italian,81293,London
E12000007,German,19074,London
E12000007,Polish,112068,London
E12000007,Slovak,5930,London
E12000007,Czech,4751,London
E12000007,Romanian,159338,London
E12000007,Lithuanian,30768,London
E12000007,Latvian,3604,London
E12000007,Hungarian,22089,London
E12000007,Bulgarian,47648,London
E12000007,Greek,36015,London
E12000007,Dutch,6550,London
E12000007,Swedish,6337,London
E12000007,Danish,2681,London
E12000007,Finnish,2010,London
E12000007,Estonian,787,London
E12000007,3Slovenian1,789,London
E12000007,3Maltese2,469,London
E12000007,otherEU,2546,London
E12000007,Albanian,30215,London
E12000007,Ukrainian,8668,London
E12000007,otherEEuropean,162,London
E12000007,otherNEuropean,3100,London
E12000007,BosCroatSerbMont,7479,London
